Symbol,Full Time Employees,EBTIDA,Total Revenue,Market Cap,EV / Revenue,EV / EBITDA,Industry Encoded,MDS1,MDS2
VCNX,37.0,-21.507,0.356,9.899721,31.37,-0.519,10.88389732,315.0346953984637,8125.73881765156
CYAD.BR,17.0,-9.004,0.102,9.984292,38.982,-0.442,10.88389732,-3774.2847965727424,1727.7136770145255
PRPO,51.0,-4.305,16.72,9.441168,0.558,-2.168,12.216909875,315.0346953984637,8125.73881765156
TRAW,17.0,-20.63,0.226,8.851424,457.244,-5.009,10.88389732,315.0346953984637,8125.73881765156
IKT,8.0,-18.979048,0.07957,8.807601,13.49,-0.057,10.88389732,315.0346953984637,8125.73881765156
BTCY,55.0,-7.622677,12.244323,8.797346,2.722,-4.372,10.968551571428572,315.0346953984637,8125.73881765156
PSTV,20.0,-13.47,5.509,8.903458,0.708,-0.29,10.88389732,315.0346953984637,8125.73881765156
ABVC,16.0,-8.507882,0.136396,8.621974,74.564,-1.195,10.88389732,315.0346953984637,8125.73881765156
XWEL,266.0,-10.563,32.879,8.672433,0.299,-0.929,12.216909875,315.0346953984637,8125.73881765156
ERNA,8.0,-21.863,0.162,8.169991,338.21,-2.506,10.88389732,315.0346953984637,8125.73881765156
ONVO,20.0,-13.994,0.073,8.327331,42.292,-0.221,10.88389732,315.0346953984637,8125.73881765156
SNGX,13.0,-7.772338,0.494623,8.232319,3.056,-0.195,10.88389732,315.0346953984637,8125.73881765156
MRAI,162.0,-18.384098,32.01005,7.007655,1.061,-1.848,7.007655,315.0346953984637,8125.73881765156
NURO,26.0,-8.235133,4.383614,8.143997,-1.85,0.985,10.968551571428572,315.0346953984637,8125.73881765156
MGRX,3.0,-8.505153,0.866792,8.07457,8.737,-0.89,12.387767,315.0346953984637,8125.73881765156
MTEM,62.0,-13.865,25.47,8.624882,0.392,-0.721,10.88389732,315.0346953984637,8125.73881765156
CMAX,1450.0,-108.327,784.550976,8.698131,0.644,-4.666,12.387767,315.0346953984637,8125.73881765156
LUCY,11.0,-8.012543,1.529782,10.114471,2.806,-0.536,11.917458333333334,315.0346953984637,8125.73881765156
TFFP,19.0,-19.006206,1.202586,7.659941,2.725,-0.172,10.88389732,315.0346953984637,8125.73881765156
KDLY,23.0,-1.983441,3.096801,7.552315,1.042,-1.627,8.951234249999999,315.0346953984637,8125.73881765156
PULM,22.0,-11.142,11.392,7.523696,-0.424,0.434,10.88389732,315.0346953984637,8125.73881765156
BSGM,4.0,-18.382,0.04,7.297673,137.986,-0.3,10.968551571428572,315.0346953984637,8125.73881765156
ELAB,18.0,-4.782589,2.473337,7.281606,2.543,-1.315,10.88389732,315.0346953984637,8125.73881765156
BFRI,83.0,-18.316,35.241,7.151137,0.113,-0.217,6.247352,315.0346953984637,8125.73881765156
CDIO,7.0,-8.215199,0.039138,7.189626,154.61,-0.737,10.88389732,315.0346953984637,8125.73881765156
NXL,6.0,-6.401655,0.150159,7.097252,40.907,-0.96,10.968551571428572,315.0346953984637,8125.73881765156
ALSGD.PA,22.0,-3.805602,4.312798,6.960966,1.538,-1.743,10.968551571428572,-4228.023201572941,1767.3940775532487
MYNZ,65.0,-26.07467,0.895479,6.671036,7.821,-0.269,12.216909875,-3604.2457819617907,1307.6563232825129
TMD.TO,4.0,-2.566,0.45,6.2722,7.678,-1.347,10.968551571428572,1111.742401758638,6172.973997898777
INBS,51.0,-9.25327,2.827092,6.982192,-0.572,0.175,10.968551571428572,315.0346953984637,8125.73881765156
POAI,34.0,-13.437984,1.748456,6.001164,1.927,-0.251,11.917458333333334,315.0346953984637,8125.73881765156
NVOS,127.0,-8.189899,13.516958,5.788769,0.618,-1.019,8.951234249999999,315.0346953984637,8125.73881765156
ALTME.PA,13.0,-5.593,0.017,6.532847,94.126,-0.286,10.88389732,-3604.2457819617907,1307.6563232825129
IMCC,95.0,-11.027,49.881,5.343567,0.372,-1.682,6.247352,-3692.157842981796,-1715.0015396200738
BMRA,64.0,-6.286,5.415,5.406462,0.373,-0.322,10.968551571428572,315.0346953984637,8125.73881765156
TRVN,23.0,-35.009,0.443,3.795551,53.956,-0.683,10.88389732,315.0346953984637,8125.73881765156
TTNP,4.0,-7.094,0.003,5.27513,394.71,-0.167,10.88389732,315.0346953984637,8125.73881765156
RSLS,29.0,-9.193,8.046,4.93117,0.49,-0.429,10.968551571428572,315.0346953984637,8125.73881765156
NTBL,16.0,-15.116,0.313,4.6269,7.444,-0.154,10.88389732,315.0346953984637,8125.73881765156
OGEN,5.0,-19.638392,0.007466,4.58238,404.193,-0.154,10.88389732,315.0346953984637,8125.73881765156
ALTHX.PA,17.0,-7.387231,0.296331,4.610242,11.19,-0.449,10.88389732,-4228.023201572941,1767.3940775532487
AZTR,10.0,-10.122036,0.4082,4.422529,10.301,-0.415,10.88389732,315.0346953984637,8125.73881765156
FRTX,4.0,-6.319,8.006,4.479982,-0.802,1.016,10.88389732,315.0346953984637,8125.73881765156
SYRA,78.0,-4.109063,7.069566,3.129453,0.679,-1.169,8.951234249999999,315.0346953984637,8125.73881765156
AIMD,46.0,-9.41261,0.065122,4.262456,149.42,-1.034,10.968551571428572,315.0346953984637,8125.73881765156
CELZ,4.0,-5.956393,0.017,4.541613,-171.505,0.489,10.88389732,315.0346953984637,8125.73881765156
SONN,12.0,-12.263398,0.055881,4.520972,19.986,-0.091,10.88389732,315.0346953984637,8125.73881765156
NEPH,31.0,-1.193,13.77,19.63674,1.269,-14.652,11.917458333333334,315.0346953984637,8125.73881765156
XAIR,107.0,-58.358,1.783,19.471152,9.727,-0.297,10.968551571428572,315.0346953984637,8125.73881765156
TRIB,380.0,-11.297,58.652,15.334126,6.73,-34.939,10.968551571428572,-3722.764776797815,2641.7436274856454
AMS,31.0,7.672,23.104,19.3344,1.376,4.145,8.951234249999999,315.0346953984637,8125.73881765156
SPRB,22.0,-47.431,9.572,19.218092,-4.926,0.994,10.88389732,315.0346953984637,8125.73881765156
CYTH,8.0,-21.140932,1.13243,18.557716,17.924,-0.96,14.5832232,315.0346953984637,8125.73881765156
PAVM,107.0,-57.284,3.829,17.710974,25.989,-1.737,10.968551571428572,315.0346953984637,8125.73881765156
ONMD,20.0,-8.346267,1.021651,21.119134,21.363,-2.615,12.387767,315.0346953984637,8125.73881765156
LYRA,88.0,-74.335,1.82,18.32788,-6.833,0.167,10.88389732,315.0346953984637,8125.73881765156
ALPRE.PA,18.0,-3.833489,0.317794,18.217678,69.862,-5.792,12.216909875,-4228.023201572941,1767.3940775532487
CPIX,91.0,-2.828444,37.785544,18.18325,0.57,-7.614,14.5832232,315.0346953984637,8125.73881765156
IPA,72.0,-10.372,24.518,18.292538,1.163,-2.749,10.88389732,1111.742401758638,6172.973997898777
ALDMS.PA,120.0,-4.16,39.858,16.20369,0.84,-8.051,10.968551571428572,-4228.023201572941,1767.3940775532487
SLGL,36.0,-16.52,6.559,17.828864,-1.715,0.681,10.88389732,-3692.157842981796,-1715.0015396200738
COSM,123.0,-19.89592,56.454856,17.836338,0.519,-1.472,17.836338,315.0346953984637,8125.73881765156
APRE,7.0,-14.176494,1.275686,17.111046,-8.33,0.75,10.88389732,315.0346953984637,8125.73881765156
AIM,26.0,-31.359,0.201,16.9696,51.083,-0.327,10.88389732,315.0346953984637,8125.73881765156
IBIO,26.0,-17.249,0.05,16.642848,584.249,-1.694,10.88389732,315.0346953984637,8125.73881765156
SYBX,6.0,-35.997,3.17,16.608461,-1.059,0.093,10.88389732,315.0346953984637,8125.73881765156
CUTR,430.0,-128.378,169.188,16.508673,2.164,-2.851,10.968551571428572,315.0346953984637,8125.73881765156
ALPAT.PA,56.0,-1.087,2.339,16.193767,9.333,-20.082,10.88389732,-4228.023201572941,1767.3940775532487
EVAX,49.0,-18.804,0.278,18.122196,641.566,-9.485,10.88389732,-3148.1542621463022,1593.360607911324
ALIKO.PA,10.0,-2.347526,0.448557,16.659874,43.443,-8.301,10.968551571428572,-4228.023201572941,1767.3940775532487
AYTU,150.0,9.893,93.758,15.408614,0.141,1.332,14.5832232,315.0346953984637,8125.73881765156
ADXN,23.0,-10.676376,1.379932,10.795688,718.376,-92.851,10.88389732,-4053.153835551507,1272.3623629384422
TLPH,15.0,-16.051,0.398,15.293696,18.738,-0.465,14.5832232,315.0346953984637,8125.73881765156
APM,3.0,-9.598997,0.431378,15.756766,10.082,-0.453,10.88389732,-3464.3830568038215,2392.639837567248
ALINS.PA,74.0,-3.446,3.305,15.349358,3.718,-3.565,12.387767,-4228.023201572941,1767.3940775532487
APLM,45.0,-53.1,2.101,14.955959,-3.032,0.12,10.88389732,315.0346953984637,8125.73881765156
WLLW.TO,19.0,-8.083,1.84,14.42043,8.213,-1.87,14.5832232,1111.742401758638,6172.973997898777
CARA,55.0,-104.724,10.996,14.715343,0.478,-0.05,10.88389732,315.0346953984637,8125.73881765156
EVGN,142.0,-19.672,9.449,16.09632,1.277,-0.613,10.88389732,-3692.157842981796,-1715.0015396200738
APDN,52.0,-13.97521,3.398049,14.110103,1.167,-0.284,12.216909875,315.0346953984637,8125.73881765156
SNTI,48.0,-56.604,0.338,14.057464,98.12,-0.586,10.88389732,315.0346953984637,8125.73881765156
RDHL,53.0,-20.941,3.707,14.098732,34102.57,-6036.876,14.5832232,-3692.157842981796,-1715.0015396200738
STRM,77.0,-6.901,21.594,12.284876,-0.243,0.761,12.387767,315.0346953984637,8125.73881765156
CANF,8.0,-7.785,0.667,14.631433,5907.958,-506.18,10.88389732,-3692.157842981796,-1715.0015396200738
ALIMP.PA,40.0,-5.111,7.447,13.74648,2.639,-3.845,10.968551571428572,-4228.023201572941,1767.3940775532487
AWH,64.0,-17.222,8.923,13.822125,1.706,-0.884,12.216909875,315.0346953984637,8125.73881765156
PMD,116.0,-2.241,20.787,13.540888,0.671,-6.223,12.216909875,315.0346953984637,8125.73881765156
VAPO,182.0,-20.465,70.919,13.55152,1.88,-6.513,10.968551571428572,315.0346953984637,8125.73881765156
ALDVI.PA,21.0,-6.565,3.266,12.773904,7.723,-3.842,10.88389732,-4228.023201572941,1767.3940775532487
STRR,171.0,-6.478,47.147,13.259848,0.884,-6.432,12.216909875,315.0346953984637,8125.73881765156
FLGC,97.0,-6.976,69.006,14.034824,0.21,-2.073,14.5832232,315.0346953984637,8125.73881765156
UPC,225.0,-3.017989,32.308736,10.87716,-0.351,3.762,14.5832232,2261.39896977108,-2983.0145285641433
GHSI,9.0,-3.556454,12.228713,12.725958,-0.174,0.597,14.5832232,315.0346953984637,8125.73881765156
SSKN,99.0,0.08,32.73,12.596903,0.722,295.299,10.968551571428572,315.0346953984637,8125.73881765156
ALVIO.PA,19.0,-18.916,1.8,12.2889,8.998,-0.856,10.88389732,-4228.023201572941,1767.3940775532487
PETV,20.0,-9.642997,0.975274,11.953132,13.132,-1.328,10.968551571428572,315.0346953984637,8125.73881765156
AVNT.TO,180.0,-7.69,27.695,12.231852,0.838,-3.016,14.5832232,1111.742401758638,6172.973997898777
DOMH,26.0,-14.089,9.509,11.925294,0.32,-0.216,10.88389732,315.0346953984637,8125.73881765156
BRTX,11.0,-12.727908,0.1741,12.455856,-12.217,0.167,10.88389732,315.0346953984637,8125.73881765156
VRAX,17.0,-6.051248,0.156419,12.331166,23.269,-0.601,10.88389732,-3464.3830568038215,2392.639837567248
GLYC,35.0,-40.783964,0.01,10.459305,-1147.798,0.281,10.88389732,315.0346953984637,8125.73881765156
KPRX,12.0,6.322639,16.02,10.129542,-1.099,-2.785,10.88389732,315.0346953984637,8125.73881765156
ALBLU.PA,85.0,-0.323975,9.826,10.451345,0.974,-29.54,10.968551571428572,-4228.023201572941,1767.3940775532487
CJJD,939.0,-2.762591,154.541072,11.045107,0.161,-9.003,11.045107,2261.39896977108,-2983.0145285641433
BCDA,16.0,-8.529,0.428,9.875273,13.333,-0.669,10.88389732,315.0346953984637,8125.73881765156
ALAMA.PA,80.0,-7.644,3.013,10.645,1.754,-0.692,12.387767,-4228.023201572941,1767.3940775532487
OTRK,102.0,-14.88,12.385,10.5433,0.841,-0.7,12.387767,315.0346953984637,8125.73881765156
JAGX,49.0,-29.431,10.185,10.165353,2.988,-1.034,10.88389732,315.0346953984637,8125.73881765156
